use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,priority_nodes,time_periods,coefficients,depth,overshoot_avg,overshoot_max,avg_idle_pn,max_idle_pn
True,20000,grid_5_5,tpbp_util1,2,15 9,tpbp_util1_grid_5_5_4,309.64592118423684,False,1822,15 16 7 9,60.0 60.0 60.0 60.0,1 10 0 0,5,0.6739,0.70655,132.80874924984997,517.0
True,20000,grid_5_5,tpbp_util1,2,24 16,tpbp_util1_grid_5_5_29,235.8030901545077,False,1857,16 5 24 8 21,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.78536,0.81105,154.97177858892945,686.0
True,20000,grid_5_5,tpbp_util1,3,9 10 12,tpbp_util1_grid_5_5_33,172.633467020053,False,1302,0 18 3 10 12 9,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.5938916666666666,0.7155,112.05843376506476,720.0
True,20000,grid_5_5,tpbp_util1,1,24,tpbp_util1_grid_5_5_13,260.56015201520154,False,1565,8 22 15 24,60.0 60.0 60.0 60.0,1 10 0 0,5,0.7953625,0.83215,167.20904590459048,413.0
True,20000,grid_5_5,tpbp_util1,1,2,tpbp_util1_grid_5_5_27,292.7405362144858,False,1385,23 15 7 20 2 5,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.8152333333333334,0.8745,218.6342370281446,1041.0
True,20000,grid_5_5,tpbp_util1,2,5 17,tpbp_util1_grid_5_5_30,247.910391039104,False,1469,17 10 3 18 5 20,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.7934083333333334,0.8874,194.20784578457844,878.0
True,20000,grid_5_5,tpbp_util1,2,24 7,tpbp_util1_grid_5_5_16,316.8545405432445,False,2363,13 5 7 24,60.0 60.0 60.0 60.0,1 10 0 0,5,0.738525,0.7891,160.46129508278725,731.0
True,20000,grid_5_5,tpbp_util1,3,24 6 3,tpbp_util1_grid_5_5_8,154.95513448655137,False,1011,3 24 6 17 16,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.66288,0.7837,100.64721527847216,449.0
True,20000,grid_5_5,tpbp_util1,4,21 7 5 12,tpbp_util1_grid_5_5_36,138.7772577257726,False,879,20 5 12 0 7 21,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.4488083333333334,0.53325,73.90425709237591,357.0
True,20000,grid_5_5,tpbp_util1,2,7 21,tpbp_util1_grid_5_5_18,274.7262053794621,False,1472,21 7 14 11 2 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.819975,0.89,199.2737809552378,881.0
True,20000,grid_5_5,tpbp_util1,1,16,tpbp_util1_grid_5_5_15,328.8686337267453,False,2100,20 14 13 15 16 22,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.7755833333333334,0.80825,184.51641161565647,831.0
True,20000,grid_5_5,tpbp_util1,3,19 13 23,tpbp_util1_grid_5_5_9,156.33202300575144,False,1028,21 13 10 7 23 19,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.5493416666666667,0.75365,94.96925064599483,569.0
True,20000,grid_5_5,tpbp_util1,1,3,tpbp_util1_grid_5_5_26,293.6250157586673,False,1391,16 8 20 18 3,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.80244,0.8773,215.3002551403272,813.0
True,20000,grid_5_5,tpbp_util1,3,20 1 9,tpbp_util1_grid_5_5_31,157.97559789947488,False,1097,20 19 1 9,60.0 60.0 60.0 60.0,1 10 0 0,5,0.5636875,0.76095,109.69282320580145,712.0
True,20000,grid_5_5,tpbp_util1,4,21 17 2 5,tpbp_util1_grid_5_5_35,134.16759037951897,False,1203,21 17 2 1 5,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.45063,0.64375,75.26465323266163,364.0
True,20000,grid_5_5,tpbp_util1,4,0 19 2 24,tpbp_util1_grid_5_5_10,204.688238,False,1062,24 19 0 2,80.0 80.0 80.0 80.0,1 10 0 0,5,0.516875,0.60315,115.6998625,535.0
True,20000,grid_5_5,tpbp_util1,4,16 0 14 12,tpbp_util1_grid_5_5_22,171.89889905504725,False,1513,0 14 12 16,60.0 60.0 60.0 60.0,1 10 0 0,5,0.4942499999999999,0.6293,85.09699515024248,380.0
True,20000,grid_5_5,tpbp_util1,3,12 18 4,tpbp_util1_grid_5_5_21,196.74988301169884,False,1085,21 18 20 12 4 24,80.0 80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.5848249999999999,0.7484,145.774497550245,879.0
True,20000,grid_5_5,tpbp_util1,1,18,tpbp_util1_grid_5_5_25,312.7758924107589,False,4163,7 2 18 11,60.0 60.0 60.0 60.0,1 10 0 0,5,0.7468625,0.77135,144.09510298970105,606.0
True,20000,grid_5_5,tpbp_util1,3,7 21 17,tpbp_util1_grid_5_5_7,151.11600220099044,False,1097,17 0 21 7,60.0 60.0 60.0 60.0,1 10 0 0,5,0.510575,0.59285,77.40436946625982,343.0
True,20000,grid_5_5,tpbp_util1,1,24,tpbp_util1_grid_5_5_2,256.7356121478961,False,1263,7 4 11 24 18,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.8278399999999999,0.85905,216.93713914044127,803.0
True,20000,grid_5_5,tpbp_util1,4,7 23 22 10,tpbp_util1_grid_5_5_34,165.06898144907245,False,1713,7 22 10 23,60.0 60.0 60.0 60.0,1 10 0 0,5,0.4273125,0.62965,77.03435171758588,708.0
True,20000,grid_5_5,tpbp_util1,2,1 9,tpbp_util1_grid_5_5_17,260.19339467893576,False,1042,8 9 22 1 6,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.7604,0.80585,160.06867373474694,522.0
True,20000,grid_5_5,tpbp_util1,4,8 0 23 17,tpbp_util1_grid_5_5_11,123.98928653567322,False,978,21 0 17 23 8,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.64987,0.70715,91.81550922453876,413.0
True,20000,grid_5_5,tpbp_util1,2,11 10,tpbp_util1_grid_5_5_6,264.3385755726718,False,1432,8 11 10 7 22 18,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.8061250000000001,0.8337,176.23492881197694,670.0
True,20000,grid_5_5,tpbp_util1,4,22 8 15 3,tpbp_util1_grid_5_5_23,155.965212,False,974,22 8 14 15 3,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.53318,0.64185,93.28672,407.0
True,20000,grid_5_5,tpbp_util1,2,5 22,tpbp_util1_grid_5_5_28,228.7281872280842,False,752,5 22 3 21,60.0 60.0 60.0 60.0,1 10 0 0,5,0.7372,0.85305,162.14194629194378,556.0
True,20000,grid_5_5,tpbp_util1,3,20 16 3,tpbp_util1_grid_5_5_20,169.22718728127188,False,1060,0 16 3 20 15,80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.52325,0.65905,110.46785321467851,641.0
True,20000,grid_5_5,tpbp_util1,4,14 3 8 23,tpbp_util1_grid_5_5_12,152.44136806840342,False,1000,14 8 3 23 10 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.616675,0.77665,99.11283064153208,548.0
True,20000,grid_5_5,tpbp_util1,1,15,tpbp_util1_grid_5_5_14,304.512552,False,1001,15 14 13 4 19,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.7569000000000001,0.8597,166.63924,553.0
